YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
1998.0,5176.5,Multifamily Housing,90011,Not Available,2.0,Not Available,42411.0
1947.0,4644.1,Other,90045,Not Available,1.0,Not Available,265454.0
2014.0,3652,Multifamily Housing,90046,Not Available,1.0,Not Available,98000.0
1958.0,1086.9,Multifamily Housing,91607,Not Available,1.0,Not Available,23592.0
1990.0,886.9,Fire Station,91326,Not Available,1.0,427.3,11625.0
1960.0,1743,Multifamily Housing,91303,Not Available,1.0,Not Available,23860.0
1985.0,4165.9,Senior Living Community,91303,Not Available,1.0,Not Available,44310.0
2004.0,2042.9,Multifamily Housing,90066,Not Available,1.0,Not Available,88040.0
2013.0,2788,Multifamily Housing,90049,Not Available,1.0,Not Available,78000.0
,,,91405,,,,
1990.0,863.3,Multifamily Housing,90034,Not Available,1.0,Not Available,31665.0
1985.0,6047.3,Multifamily Housing,90014,Not Available,1.0,Not Available,86866.0
,,,90731,,,,
,,,91356,,,,
1990.0,1311.6,Police Station,91304,Not Available,1.0,Not Available,53800.0
,,,90029,,,,
,,,91605,,,,
1983.0,1315.8,Multifamily Housing,90034,Not Available,1.0,Not Available,34872.0
1975.0,6.7,Retail Store,91605,Not Available,1.0,6.7,27750.0
1971.0,4049.2,Multifamily Housing,90057,Not Available,1.0,Not Available,109017.0
1995.0,50,Self-Storage Facility,90004,Not Available,1.0,50,91487.0
,,,90057,,,,
1960.0,1055,Fire Station,91331,Not Available,1.0,508.4,14546.0
2000.0,Not Available,Worship Facility,90024,Not Available,1.0,Not Available,71820.0
1987.0,699.4,Multifamily Housing,90034,Not Available,1.0,Not Available,22237.0
,,,91342,,,,
1966.0,941.8,Multifamily Housing,90025,Not Available,1.0,Not Available,29170.0
1928.0,9.7,Multifamily Housing,90017,Not Available,1.0,Not Available,49820.0
2014.0,138.4,Multifamily Housing,90024,Not Available,1.0,Not Available,33658.0
,,,90001,,,,
1988.0,2877.5,Multifamily Housing,91304,Not Available,1.0,Not Available,20852.0
1978.0,2060.9,Multifamily Housing,91423,Not Available,1.0,Not Available,62076.0
1960.0,127.2,Non-Refrigerated Warehouse,90031,Not Available,1.0,Not Available,22499.0
